
>>> Condition Data >>>

    1095251 of 4400220000 molecules passed the conditions (0.02 percent).

List of reference molecules (C2H3O2) that passed the conditions:

  - 194:    13.6243 percent of the time (2725 hits)
  - 216:     0.0050 percent of the time (1 hits)
  - 261:     0.0050 percent of the time (1 hits)
  - 305:     0.0100 percent of the time (2 hits)
  - 320:     0.1700 percent of the time (34 hits)
  - 322:     0.0700 percent of the time (14 hits)
  - 330:     0.0400 percent of the time (8 hits)
  - 331:   100.0000 percent of the time (20001 hits)
  - 332:   100.0000 percent of the time (20001 hits)
  - 358:     0.0050 percent of the time (1 hits)
  - 360:    22.5489 percent of the time (4510 hits)
  - 361:     7.1396 percent of the time (1428 hits)
  - 364:     0.0050 percent of the time (1 hits)
  - 376:     0.1000 percent of the time (20 hits)
  - 379:     0.0250 percent of the time (5 hits)
  - 389:     0.0150 percent of the time (3 hits)
  - 391:     0.0100 percent of the time (2 hits)
  - 397:     0.0050 percent of the time (1 hits)
  - 415:    92.8454 percent of the time (18570 hits)
  - 424:     0.0050 percent of the time (1 hits)
  - 428:     0.0300 percent of the time (6 hits)
  - 440:   100.0000 percent of the time (20001 hits)
  - 444:     4.0948 percent of the time (819 hits)
  - 446:     0.0850 percent of the time (17 hits)
  - 477:     9.8745 percent of the time (1975 hits)
  - 507:     0.0300 percent of the time (6 hits)
  - 518:    99.7050 percent of the time (19942 hits)
  - 521:     0.0050 percent of the time (1 hits)
  - 523:     0.0700 percent of the time (14 hits)
  - 524:     0.0050 percent of the time (1 hits)
  - 542:     0.0750 percent of the time (15 hits)
  - 548:    99.1150 percent of the time (19824 hits)
  - 561:     0.0450 percent of the time (9 hits)
  - 577:    97.1851 percent of the time (19438 hits)
  - 578:     0.8100 percent of the time (162 hits)
  - 600:     0.0100 percent of the time (2 hits)
  - 609:     0.0100 percent of the time (2 hits)
  - 610:    10.4895 percent of the time (2098 hits)
  - 611:     0.0450 percent of the time (9 hits)
  - 624:     0.0100 percent of the time (2 hits)
