
>>> Condition Data >>>

    1065802 of 3003660000 molecules passed the conditions (0.04 percent).

List of reference molecules (C2H3O2) that passed the conditions:

  - 163:    99.1650 percent of the time (13539 hits)
  - 165:     0.3516 percent of the time (48 hits)
  - 170:     0.0220 percent of the time (3 hits)
  - 182:    60.6753 percent of the time (8284 hits)
  - 194:    25.7306 percent of the time (3513 hits)
  - 198:     0.7471 percent of the time (102 hits)
  - 210:     0.0146 percent of the time (2 hits)
  - 226:     0.7984 percent of the time (109 hits)
  - 263:     0.0293 percent of the time (4 hits)
  - 271:     0.9961 percent of the time (136 hits)
  - 276:    10.4959 percent of the time (1433 hits)
  - 294:     0.8203 percent of the time (112 hits)
  - 308:     0.0073 percent of the time (1 hits)
  - 311:     0.0220 percent of the time (3 hits)
  - 318:     1.4649 percent of the time (200 hits)
  - 320:     7.3976 percent of the time (1010 hits)
  - 321:     0.0439 percent of the time (6 hits)
  - 322:     0.0146 percent of the time (2 hits)
  - 331:   100.0000 percent of the time (13653 hits)
  - 339:    11.1038 percent of the time (1516 hits)
  - 341:     0.0073 percent of the time (1 hits)
  - 390:     5.6618 percent of the time (773 hits)
  - 398:    93.7376 percent of the time (12798 hits)
  - 415:    99.8315 percent of the time (13630 hits)
  - 420:     0.0073 percent of the time (1 hits)
  - 428:     0.0439 percent of the time (6 hits)
  - 432:    23.0938 percent of the time (3153 hits)
  - 436:     0.0073 percent of the time (1 hits)
  - 440:     9.8586 percent of the time (1346 hits)
  - 442:    46.1803 percent of the time (6305 hits)
  - 443:    60.4995 percent of the time (8260 hits)
  - 461:     0.0366 percent of the time (5 hits)
  - 463:     0.0073 percent of the time (1 hits)
  - 514:     4.2994 percent of the time (587 hits)
  - 518:    76.2836 percent of the time (10415 hits)
  - 533:     0.0073 percent of the time (1 hits)
  - 535:    10.2322 percent of the time (1397 hits)
  - 536:     0.0952 percent of the time (13 hits)
  - 540:    60.0527 percent of the time (8199 hits)
  - 558:     0.0220 percent of the time (3 hits)
  - 559:    55.6508 percent of the time (7598 hits)
  - 560:    93.7083 percent of the time (12794 hits)
  - 567:     0.3516 percent of the time (48 hits)
  - 577:     5.2809 percent of the time (721 hits)
  - 578:    25.1227 percent of the time (3430 hits)
  - 609:     8.1154 percent of the time (1108 hits)
  - 610:    25.7306 percent of the time (3513 hits)
  - 619:     0.8863 percent of the time (121 hits)
  - 638:     0.0073 percent of the time (1 hits)
  - 639:     5.1857 percent of the time (708 hits)
  - 649:    73.0462 percent of the time (9973 hits)
  - 651:    54.9989 percent of the time (7509 hits)
  - 652:    34.7469 percent of the time (4744 hits)
  - 660:     0.0220 percent of the time (3 hits)
  - 665:     0.0146 percent of the time (2 hits)
  - 667:    67.3698 percent of the time (9198 hits)
  - 693:    79.4551 percent of the time (10848 hits)
  - 705:    98.3886 percent of the time (13433 hits)
  - 706:     5.0245 percent of the time (686 hits)
  - 708:     0.0073 percent of the time (1 hits)
  - 717:     1.8457 percent of the time (252 hits)
  - 719:     4.9513 percent of the time (676 hits)
  - 722:    88.9841 percent of the time (12149 hits)
  - 724:     0.0220 percent of the time (3 hits)
  - 725:    38.1967 percent of the time (5215 hits)
  - 726:     0.0073 percent of the time (1 hits)
  - 728:     0.1172 percent of the time (16 hits)
  - 741:   100.0000 percent of the time (13653 hits)
  - 747:    27.5910 percent of the time (3767 hits)
  - 761:     0.0366 percent of the time (5 hits)
  - 762:     0.0439 percent of the time (6 hits)
  - 764:    17.6445 percent of the time (2409 hits)
  - 765:    18.4135 percent of the time (2514 hits)
  - 768:    33.1942 percent of the time (4532 hits)
  - 772:     0.1465 percent of the time (20 hits)
  - 783:     0.0659 percent of the time (9 hits)
  - 791:    26.0236 percent of the time (3553 hits)
  - 792:    40.0791 percent of the time (5472 hits)
  - 793:    20.5230 percent of the time (2802 hits)
  - 800:    16.2016 percent of the time (2212 hits)
  - 812:     0.6299 percent of the time (86 hits)
  - 813:    11.0672 percent of the time (1511 hits)
  - 814:    11.4334 percent of the time (1561 hits)
  - 815:     0.0073 percent of the time (1 hits)
  - 817:    94.2211 percent of the time (12864 hits)
  - 822:     0.2124 percent of the time (29 hits)
  - 824:     0.9302 percent of the time (127 hits)
  - 831:    29.7371 percent of the time (4060 hits)
  - 846:     0.0439 percent of the time (6 hits)
  - 847:     0.0439 percent of the time (6 hits)
  - 867:     0.2051 percent of the time (28 hits)
  - 868:    30.4255 percent of the time (4154 hits)
  - 872:     9.8147 percent of the time (1340 hits)
  - 882:     5.4494 percent of the time (744 hits)
  - 884:     0.2051 percent of the time (28 hits)
  - 886:     2.4830 percent of the time (339 hits)
  - 889:    27.2980 percent of the time (3727 hits)
  - 898:     0.0146 percent of the time (2 hits)
  - 904:     5.5739 percent of the time (761 hits)
  - 915:     0.1025 percent of the time (14 hits)
  - 923:     0.0366 percent of the time (5 hits)
  - 927:     1.7359 percent of the time (237 hits)
  - 937:     1.0987 percent of the time (150 hits)
  - 939:    40.6651 percent of the time (5552 hits)
  - 943:     0.3369 percent of the time (46 hits)
  - 963:    64.9967 percent of the time (8874 hits)
  - 965:     0.0513 percent of the time (7 hits)
  - 976:     8.2180 percent of the time (1122 hits)
  - 990:    28.4699 percent of the time (3887 hits)
  - 1004:     0.0073 percent of the time (1 hits)
  - 1008:     4.0943 percent of the time (559 hits)
  - 1009:    33.8753 percent of the time (4625 hits)
  - 1010:     0.0220 percent of the time (3 hits)
  - 1011:     0.4028 percent of the time (55 hits)
  - 1012:     0.1172 percent of the time (16 hits)
  - 1013:     0.0293 percent of the time (4 hits)
  - 1021:    46.9494 percent of the time (6410 hits)
  - 1022:     2.1973 percent of the time (300 hits)
  - 1023:     0.0073 percent of the time (1 hits)
  - 1024:    57.2548 percent of the time (7817 hits)
  - 1030:    95.8104 percent of the time (13081 hits)
  - 1031:    38.9951 percent of the time (5324 hits)
  - 1042:     0.5054 percent of the time (69 hits)
  - 1050:    24.1339 percent of the time (3295 hits)
  - 1051:    27.5544 percent of the time (3762 hits)
  - 1071:    30.8284 percent of the time (4209 hits)
  - 1091:     0.0293 percent of the time (4 hits)
  - 1097:    43.9977 percent of the time (6007 hits)
  - 1098:     0.0513 percent of the time (7 hits)
  - 1099:     5.8668 percent of the time (801 hits)
  - 1102:     0.0513 percent of the time (7 hits)
  - 1108:     0.4175 percent of the time (57 hits)
  - 1121:     3.9698 percent of the time (542 hits)
  - 1122:     0.0220 percent of the time (3 hits)
  - 1123:     0.0146 percent of the time (2 hits)
  - 1124:     0.9741 percent of the time (133 hits)
  - 1125:    97.8979 percent of the time (13366 hits)
  - 1137:     0.5054 percent of the time (69 hits)
  - 1138:    34.3587 percent of the time (4691 hits)
  - 1143:     4.0211 percent of the time (549 hits)
  - 1152:    50.2014 percent of the time (6854 hits)
  - 1155:     0.1318 percent of the time (18 hits)
  - 1169:     5.6105 percent of the time (766 hits)
