
>>> Condition Data >>>

    9397345 of 4400220000 molecules passed the conditions (0.21 percent).

List of reference molecules (C2H3O2) that passed the conditions:

  - 38:     7.0946 percent of the time (1419 hits)
  - 44:    10.5445 percent of the time (2109 hits)
  - 45:     1.8149 percent of the time (363 hits)
  - 46:     9.3695 percent of the time (1874 hits)
  - 47:     0.6000 percent of the time (120 hits)
  - 48:     1.2099 percent of the time (242 hits)
  - 49:    11.1694 percent of the time (2234 hits)
  - 50:     1.7849 percent of the time (357 hits)
  - 51:     0.2350 percent of the time (47 hits)
  - 52:     0.0250 percent of the time (5 hits)
  - 53:    10.6095 percent of the time (2122 hits)
  - 54:     6.0997 percent of the time (1220 hits)
  - 55:     4.3498 percent of the time (870 hits)
  - 56:     3.6048 percent of the time (721 hits)
  - 57:    18.8791 percent of the time (3776 hits)
  - 58:     8.6796 percent of the time (1736 hits)
  - 59:     0.0050 percent of the time (1 hits)
  - 60:     4.5548 percent of the time (911 hits)
  - 61:     3.9048 percent of the time (781 hits)
  - 62:     4.1448 percent of the time (829 hits)
  - 63:     2.6499 percent of the time (530 hits)
  - 64:     3.1498 percent of the time (630 hits)
  - 65:     9.9095 percent of the time (1982 hits)
  - 66:     5.5447 percent of the time (1109 hits)
  - 67:    64.0668 percent of the time (12814 hits)
  - 68:    12.2994 percent of the time (2460 hits)
  - 69:   100.0000 percent of the time (20001 hits)
  - 70:     2.0199 percent of the time (404 hits)
  - 71:     7.4446 percent of the time (1489 hits)
  - 72:    29.5235 percent of the time (5905 hits)
  - 73:    44.3028 percent of the time (8861 hits)
  - 74:   100.0000 percent of the time (20001 hits)
  - 77:    67.5516 percent of the time (13511 hits)
  - 78:    13.6843 percent of the time (2737 hits)
  - 79:    84.4358 percent of the time (16888 hits)
  - 80:     7.2446 percent of the time (1449 hits)
  - 81:    11.2844 percent of the time (2257 hits)
  - 82:    16.2942 percent of the time (3259 hits)
  - 83:    22.3189 percent of the time (4464 hits)
  - 84:    26.0137 percent of the time (5203 hits)
  - 85:     7.1846 percent of the time (1437 hits)
  - 86:     1.7449 percent of the time (349 hits)
  - 87:    53.5473 percent of the time (10710 hits)
  - 88:    87.3756 percent of the time (17476 hits)
  - 89:    23.5388 percent of the time (4708 hits)
  - 90:    22.6339 percent of the time (4527 hits)
  - 91:     1.5249 percent of the time (305 hits)
  - 92:     9.2795 percent of the time (1856 hits)
  - 93:     0.0450 percent of the time (9 hits)
  - 94:     0.5350 percent of the time (107 hits)
  - 95:     8.0646 percent of the time (1613 hits)
  - 96:    18.7591 percent of the time (3752 hits)
  - 97:    38.0131 percent of the time (7603 hits)
  - 98:    38.2831 percent of the time (7657 hits)
  - 99:    70.2565 percent of the time (14052 hits)
  - 100:    21.1039 percent of the time (4221 hits)
  - 101:    71.8814 percent of the time (14377 hits)
  - 102:    15.6592 percent of the time (3132 hits)
  - 103:    29.8185 percent of the time (5964 hits)
  - 104:    67.6666 percent of the time (13534 hits)
  - 105:    46.3627 percent of the time (9273 hits)
  - 106:    90.3055 percent of the time (18062 hits)
  - 107:    17.3391 percent of the time (3468 hits)
  - 108:    78.0561 percent of the time (15612 hits)
  - 109:    99.9150 percent of the time (19984 hits)
  - 110:    83.8108 percent of the time (16763 hits)
  - 111:    27.7236 percent of the time (5545 hits)
  - 112:     5.7197 percent of the time (1144 hits)
  - 113:    70.4815 percent of the time (14097 hits)
  - 114:     4.0098 percent of the time (802 hits)
  - 115:    22.7539 percent of the time (4551 hits)
  - 116:    20.5190 percent of the time (4104 hits)
  - 117:     3.2648 percent of the time (653 hits)
  - 118:    27.3286 percent of the time (5466 hits)
  - 119:     4.3948 percent of the time (879 hits)
  - 120:    63.4868 percent of the time (12698 hits)
  - 121:    49.3925 percent of the time (9879 hits)
  - 122:    92.6354 percent of the time (18528 hits)
  - 123:     0.0200 percent of the time (4 hits)
  - 124:     0.0900 percent of the time (18 hits)
  - 125:     0.0850 percent of the time (17 hits)
  - 126:     3.4798 percent of the time (696 hits)
  - 127:     4.8848 percent of the time (977 hits)
  - 128:    61.0219 percent of the time (12205 hits)
  - 129:    25.6987 percent of the time (5140 hits)
  - 130:     4.3298 percent of the time (866 hits)
  - 131:     4.5598 percent of the time (912 hits)
  - 132:     1.2699 percent of the time (254 hits)
  - 133:    80.5860 percent of the time (16118 hits)
  - 134:     1.7649 percent of the time (353 hits)
  - 135:    89.6605 percent of the time (17933 hits)
  - 136:     4.5598 percent of the time (912 hits)
  - 137:    27.9436 percent of the time (5589 hits)
  - 138:     6.3647 percent of the time (1273 hits)
  - 141:     8.4396 percent of the time (1688 hits)
  - 142:     7.7646 percent of the time (1553 hits)
  - 143:    11.9194 percent of the time (2384 hits)
  - 144:     2.2049 percent of the time (441 hits)
  - 145:    19.8290 percent of the time (3966 hits)
  - 146:     2.7799 percent of the time (556 hits)
  - 147:    10.5895 percent of the time (2118 hits)
  - 148:     2.1949 percent of the time (439 hits)
  - 149:    12.6044 percent of the time (2521 hits)
  - 150:     9.0995 percent of the time (1820 hits)
  - 151:     1.6299 percent of the time (326 hits)
  - 152:     2.8149 percent of the time (563 hits)
  - 153:    55.7472 percent of the time (11150 hits)
  - 154:     3.9748 percent of the time (795 hits)
  - 155:     7.8546 percent of the time (1571 hits)
  - 156:     0.7650 percent of the time (153 hits)
  - 157:     0.5800 percent of the time (116 hits)
  - 158:    11.1194 percent of the time (2224 hits)
  - 159:    71.7964 percent of the time (14360 hits)
  - 160:    57.3671 percent of the time (11474 hits)
  - 161:     7.3346 percent of the time (1467 hits)
  - 162:     6.1547 percent of the time (1231 hits)
  - 163:    99.6950 percent of the time (19940 hits)
  - 164:    10.7345 percent of the time (2147 hits)
  - 165:    16.8492 percent of the time (3370 hits)
  - 166:    56.7072 percent of the time (11342 hits)
  - 167:    24.9188 percent of the time (4984 hits)
  - 168:    28.2936 percent of the time (5659 hits)
  - 169:    88.4706 percent of the time (17695 hits)
  - 170:     9.5945 percent of the time (1919 hits)
  - 171:    70.7315 percent of the time (14147 hits)
  - 172:    98.7351 percent of the time (19748 hits)
  - 173:    16.2492 percent of the time (3250 hits)
  - 174:     6.2097 percent of the time (1242 hits)
  - 175:    77.4061 percent of the time (15482 hits)
  - 176:     8.9396 percent of the time (1788 hits)
  - 177:     2.1299 percent of the time (426 hits)
  - 178:    26.2937 percent of the time (5259 hits)
  - 179:    11.0794 percent of the time (2216 hits)
  - 180:     0.4900 percent of the time (98 hits)
  - 181:     2.0499 percent of the time (410 hits)
  - 182:   100.0000 percent of the time (20001 hits)
  - 183:    81.4809 percent of the time (16297 hits)
  - 184:     6.5347 percent of the time (1307 hits)
  - 185:     0.0500 percent of the time (10 hits)
  - 186:     0.0350 percent of the time (7 hits)
  - 187:    17.9191 percent of the time (3584 hits)
  - 188:    25.2437 percent of the time (5049 hits)
  - 189:    18.8841 percent of the time (3777 hits)
  - 190:     0.8900 percent of the time (178 hits)
  - 191:     5.2347 percent of the time (1047 hits)
  - 192:    67.5266 percent of the time (13506 hits)
